Street_bounding,Name_bounding,Address_bounding,Rating_bounding,Place ID,Latitude_bounding,Longitude_bounding,flag
liberty ave,"Dr. Amy I. Kim, MD","4727 Friendship Avenue, Pittsburgh",,ChIJBz2E0EbyNIgRmav-vFgPyMY,40.4632342,-79.94816809999999,consolidated
penn ave,"Evolve Coaching, Inc.","3706 Butler Street, Pittsburgh",,ChIJC0kalG3xNIgR2N69h4R0YB0,40.4663709,-79.9643997,consolidated
liberty ave,Shursave IGA,"4401 Liberty Avenue, Pittsburgh",3.9,ChIJC3UCKUbyNIgRkUpADXjGZwA,40.4641129,-79.9525051,consolidated
penn ave,So Punk Ink,"3524 Butler Street Floor 3, Pittsburgh",,ChIJC3r4IgnzNIgRy1x0PZHRnLA,40.4646806,-79.9656859,bounding_only
34th st,Oyster Creative Co.,"3614 Smallman Street, Pittsburgh",5.0,ChIJC8Ag39fzNIgRg5McknOO5lk,40.4664289,-79.9666142,consolidated
51st st,Asgard Raw Dog & Cat Food,"10 Sedgwick Street, Pittsburgh",4.7,ChIJC8pHiajzNIgRZT-3zgGzF38,40.4796371,-79.9744644,consolidated
penn ave,Allegheny Tuberculosis Program,"3901 Penn Avenue, Pittsburgh",,ChIJC9ch6kvyNIgRH1ZV86Ht1MY,40.4654045,-79.95903969999999,consolidated
penn ave,Public Drinking Water-Waste,"3901 Penn Avenue, Pittsburgh",,ChIJC9ch6kvyNIgRXVtUcR9gYSQ,40.46525010000001,-79.95941309999999,consolidated
liberty ave,Liberty Ave + Main St (Bloomfield Bridge),United States,,ChIJCREBhUjyNIgRUyz1dJ-W4RU,40.463497,-79.95336499999999,bounding_only
48th St,Eidenmiller Real Estate,"322 Grant Avenue, Pittsburgh",,ChIJCRoOVqjzNIgRK5ILDppehIk,40.4798513,-79.9727868,broad_filled
penn ave,Knowing Place,"3824 Penn Avenue Unit B, Pittsburgh",5.0,ChIJCUIz7BjzNIgRarpmZ97tDng,40.4646096,-79.9605157,consolidated
Liberty Ave,Shelton Design//Build,"4805 Penn Avenue, Pittsburgh",4.6,ChIJCUbw6EPyNIgRUdwzL9xGzm4,40.46563609999999,-79.9460291,broad_filled
liberty ave,Tobacco Outlet,"4501 Liberty Avenue, Pittsburgh",4.5,ChIJCVIdN0byNIgR4pexPEWxvFY,40.463198,-79.9516007,consolidated
penn ave,Emport LLC,"3706 Butler Street, Pittsburgh",,ChIJCWDHc1LyNIgRLE-vzgr6R_g,40.4663709,-79.9643997,bounding_only
Plummer St,Jack's Discount Videos,"316 Grant Avenue, Millvale",4.4,ChIJCXp6_6jzNIgRaR_E3n8oywo,40.4797227,-79.97263579999999,broad_filled
54th St,First United Church of Christ,"425 North Avenue, Pittsburgh",5.0,ChIJCZATkgfzNIgRIg2KQN-AZyo,40.48288220000001,-79.9733382,broad_filled
liberty ave,Better Stories Psychiatry,"4111 Penn Avenue, Pittsburgh",3.4,ChIJC_DTIJTzNIgRxNQFKqfdu0U,40.4659582,-79.9548239,bounding_only
penn ave,Fjord and Fable,"4112 Butler Street, Pittsburgh",5.0,ChIJCb74Fxy4qEcRWG6mvY90QEk,40.46986939999999,-79.96070089999999,consolidated
45th St,"Jonathan Michael Weiss, MD","111 Sheridan Street, Pittsburgh",,ChIJCcl9hK_zNIgRmIRw3WURI4c,40.4790076,-79.97099299999999,broad_filled
51st St,Yetter's Candies,"504 Grant Avenue, Pittsburgh",4.8,ChIJCdPiaKjzNIgRA7wptzOzD-E,40.480545,-79.974147,broad_filled
44th St,Subway,"124 Grant Avenue, Millvale",4.2,ChIJCfyoZ6nzNIgRL5QlxkTYtbE,40.4785009,-79.97008439999999,broad_filled
butler st,Agustin home cleaning services LLC,Pittsburgh,,ChIJCx_Xb17zNIgRY6wcfM2XYbc,40.4717898,-79.961373,bounding_only
53rd St,"Telephone of the Wind, Millvale","115 Sedgwick Street, Pittsburgh",5.0,ChIJD-bfbgDzNIgRrRzKDEz4E7I,40.4809858,-79.9737786,broad_filled
54th St,Superior Sign Service LLC,"410 North Avenue, Pittsburgh",3.3,ChIJD3brE-vyNIgROKwz-isIeA0,40.48236970000001,-79.9733834,broad_filled
Liberty Ave,Serving Solutions,"4816 Dearborn Street, Pittsburgh",,ChIJD57xwEPyNIgR398qvm8aUQ8,40.46594690000001,-79.9456658,broad_filled
butler st,Quantum Theatre,"212 45th Street, Pittsburgh",4.8,ChIJD6Cbp3byNIgRMFIZvPNbDTs,40.4716528,-79.95918549999999,consolidated
penn ave,Penn Vape Wellness,"4067 Penn Avenue, Pittsburgh",4.7,ChIJD6Zi9HHzNIgRJxl-5yWY_tw,40.465712,-79.955466,bounding_only
penn ave,Spilsbury Drapery Supply,"3809 Penn Avenue, Pittsburgh",4.8,ChIJD8SLoEvyNIgRs1f1MwNTHkM,40.4647376,-79.96118630000001,consolidated
Stanton Ave,MT Troy Rd + Lonsdale,United States,,ChIJDQfp0KLzNIgRqoIM5_SMxVk,40.47376999999999,-79.984078,broad_filled
penn ave,Macaron Bar Lawrenceville,"3629 Butler Street, Pittsburgh",4.7,ChIJDRzTaXTyNIgRr-Lofpxky2w,40.4662706,-79.9649122,consolidated
Liberty Ave,Community Preschool and Nursery,"4809 Penn Avenue, Pittsburgh",3.4,ChIJDVgE6EPyNIgRqqj7M1URt6k,40.4654755,-79.9458348,broad_filled
liberty ave,"Aleita Hermanowski, Copywriter","4622 Panama Way, Pittsburgh",,ChIJDX-tD93zNIgR8q1dhkqbto4,40.4619287,-79.95024339999999,bounding_only
penn ave,Iron City Bikes Lawrenceville,"3822 Butler Street, Pittsburgh",4.9,ChIJDX4Zs0zyNIgRyZul7g-px6g,40.4671337,-79.96387059999999,consolidated
penn ave,Penn Ave + 36th,United States,,ChIJDYpgLEvyNIgRt2Ugvj6izyw,40.46424699999999,-79.963848,consolidated
Plummer St,Mr. Smalls Theatre,"400 Lincoln Avenue, Millvale",4.7,ChIJDZ5sNKjzNIgR5QIcsD-M-e4,40.48081850000001,-79.97224949999999,broad_filled
Plummer St,Funhouse Theaters Inc,"400 Lincoln Avenue Basement, Millvale",5.0,ChIJDZ5sNKjzNIgRpN41omfkT_Y,40.4808548,-79.9722639,broad_filled
penn ave,The Sōl Collective at Steel House Cycle,"4100 Butler Street FL 1, Pittsburgh",,ChIJDZavJlvzNIgRs_FNZF5CM5g,40.469382,-79.96105299999999,consolidated
butler st,Café102,"4314 Butler Street, Pittsburgh",4.9,ChIJDZm6gVjzNIgRpxNu1EcVUE0,40.4709828,-79.95997129999999,consolidated
mccandless ave,Civil Engineering Design & Consulting,"141 Howard Street, Pittsburgh",,ChIJDavT4mvzNIgRrs8lq7y8RQo,40.4809356,-79.975306,consolidated
liberty ave,Peace of Time Wellness,"4748 Liberty Avenue, Pittsburgh",4.4,ChIJDcTRzHbzNIgRfL9w4qVku8c,40.4610943,-79.94844119999999,bounding_only
penn ave,Dijlah Restaurant and Cafe,"4130 Butler Street, Pittsburgh",4.2,ChIJDxKskE3yNIgRZVoDJ9pI2OE,40.4701807,-79.9605352,consolidated
34th St,Aurora,"50 33rd Street, Pittsburgh",4.4,ChIJDxVAs7fzNIgR9tjdx8GWnUU,40.4642395,-79.97217599999999,broad_filled
mccandless ave,Hinds Site,"17 Johnson Street, Millvale",5.0,ChIJE3yVEKfzNIgRKQ6Ji4qEmgY,40.4810982,-79.97891659999999,consolidated
butler st,"Renee Jennings, MA, MSW, LCSW","145 44th Street, Pittsburgh",5.0,ChIJE5qBFP_xNIgRYZZ8dVb9uFE,40.4728078,-79.9613218,bounding_only
Fisk St,MT Troy Rd + Kinkura,United States,,ChIJE74lQZ_zNIgRKJ-CtssWfjA,40.4795,-79.98763,broad_filled
butler st,Nanban,"4407 Butler Street, Pittsburgh",4.3,ChIJE8F5jc3zNIgRv9cjRb4OUzA,40.4717953,-79.9598164,consolidated
butler st,Children's Hospital of Pittsburgh Foundation,"105 40th Street, Pittsburgh",5.0,ChIJERM1AUPyNIgRKm0kesDgP7g,40.4713134,-79.9650802,consolidated
Plummer St,Creative Citizen studios,"312 Grant Avenue, Pittsburgh",,ChIJEUIB4LfzNIgR-XFRhE0gwjs,40.47972609999999,-79.97263099999999,broad_filled
penn ave,3 Rivers Wet Weather Inc,"3901 Penn Avenue #3, Pittsburgh",3.8,ChIJEXBL8kvyNIgRCNYq6uHVnpw,40.4657366,-79.95951629999999,consolidated
penn ave,Allegheny County Labs Department,"3901 Penn Avenue #8, Pittsburgh",,ChIJEXBL8kvyNIgRvG5meorVzL0,40.46548609999999,-79.959729,consolidated
liberty ave,Kula Industries & Streekers Vintage,"4124 Main Street, Pittsburgh",5.0,ChIJEwRSfWXzNIgR7P5By1tuSYM,40.4649469,-79.9544568,bounding_only
penn ave,40th St + Davidson St FS,United States,,ChIJEx-uXkzyNIgR0pMnu5dmq5c,40.467651,-79.96094,consolidated
penn ave,T Minus Studios,"3706 Butler Street, Pittsburgh",5.0,ChIJExTp1FPzNIgRtLdowSZuBK8,40.4663709,-79.9643997,bounding_only
48th St,McWalker Yarns,"303 Grant Avenue, Pittsburgh",4.8,ChIJEy7rom_zNIgRyffLte8iKL8,40.479234,-79.9722891,broad_filled
penn ave,Phoenix Chinese SPA,"4309 Butler Street, Pittsburgh",3.8,ChIJF1DXi03yNIgRrbmobyLOXsg,40.47099860000001,-79.9602786,consolidated
liberty ave,Caliente Pizza & Drafthouse - Bloomfield,"4624 Liberty Avenue, Pittsburgh",3.8,ChIJF27Hp0fyNIgRnZHhBa75CIw,40.46203579999999,-79.9501025,consolidated
liberty ave,Friendship Ave + Pearl St,United States,,ChIJF5Ci7kbyNIgR_GZyhXDeAbQ,40.463627,-79.949135,bounding_only
Butler St,The Pitch on Butler,"4717 Butler Street, Pittsburgh",4.8,ChIJF8KnYiTzNIgRjMbh5KbayAA,40.47458589999999,-79.9579452,broad_filled
Butler St,ATM,"4717 Butler Street, Pittsburgh",,ChIJF8kQkE3yNIgR0y8Qh98SYJw,40.4745713,-79.95793619999999,broad_filled
butler st,Rosie's Workshop PGH,"4322 Butler Street, Pittsburgh",5.0,ChIJF9Db3BvzNIgR02GKkRcHB6s,40.4711625,-79.9598616,consolidated
McCandless Ave,Millvale Lanes,"523 Lincoln Avenue, Millvale",4.2,ChIJF9KOFqjzNIgRZTFvyGDO8pE,40.481462,-79.974139,broad_filled
butler st,Rainbow Row,"119 41st Street, Pittsburgh",4.3,ChIJFQh0j7TzNIgRve9Smu3rc34,40.471287,-79.9638069,consolidated
52nd St,Joyce Lee Beauty Salon,"2517 Mount Troy Road, Pittsburgh",5.0,ChIJFRHUz6LzNIgRSPGv1Ru6FWE,40.47368539999999,-79.9843405,broad_filled
liberty ave,Rite Aid Pharmacy,"4411 Howley Street, Pittsburgh",5.0,ChIJFSwiHUbyNIgRKcNIyZd8tVc,40.464623,-79.95270049999999,consolidated
liberty ave,"Dr. Jason P. Thomas, MD","4727 Friendship Avenue, Pittsburgh",,ChIJFUbf2kbyNIgR1ll5loi9pCc,40.4632342,-79.94816809999999,consolidated
liberty ave,"Dr. Chandra R. Polam, MD","4727 Friendship Avenue, Pittsburgh",,ChIJFUbf2kbyNIgRIu7MSvoWaQU,40.4632342,-79.94816809999999,consolidated
liberty ave,Caffé Mona La Bistro,"4200 Penn Avenue, Pittsburgh",4.5,ChIJFWbwNU_yNIgRFCEuSZi60Es,40.46567799999999,-79.9542656,bounding_only
penn ave,"Amery Treble-Barna, PhD","4117 Penn Avenue, Pittsburgh",,ChIJFYmReBPzNIgR9ZoQBNzAtbg,40.4659347,-79.95472459999999,bounding_only
49th St,Reserve Athletic Association,"2107 Lonsdale Street, Pittsburgh",4.8,ChIJF_6Ae6TzNIgRl-27tGPoYuY,40.4755644,-79.9810814,broad_filled
butler st,Golden Gaia Tattoo,"4519 Butler Street, Pittsburgh",5.0,ChIJF_PcSkfzNIgRH5JiPOCtS0k,40.4727726,-79.9591573,consolidated
butler st,Steel Dragon,"100 43rd Street #113, Pittsburgh",5.0,ChIJFapuyVLyNIgRm7k-yEupG08,40.4728608,-79.9638889,consolidated
penn ave,A Street Called Straight Ministries,"3832 Mintwood Street, Pittsburgh",5.0,ChIJFd10TIjzNIgRxdron-huSIk,40.46372119999999,-79.95995769999999,bounding_only
penn ave,Peig Inc.,"3706 Butler Street, Pittsburgh",,ChIJFejIVhHzNIgRthxEZWO7S8s,40.4663709,-79.9643997,bounding_only
liberty ave,Anchor boxing,"4042 Liberty Avenue, Pittsburgh",5.0,ChIJFwdcZUTzNIgR5cK7k5v4C9M,40.4628245,-79.9557526,bounding_only
penn ave,The Mihok Law Firm,"3706 Butler Street Suite 306, Pittsburgh",5.0,ChIJFyCKQXTyNIgR-YA3TXSeG80,40.4663709,-79.9643997,consolidated
penn ave,The Slyrie Slirving Tennis Nest,"276 39th Street, Pittsburgh",5.0,ChIJG-cT1L7zNIgRwOaGTIwu3e0,40.4660166,-79.9608038,consolidated
52nd st,McCarthy Park,Millvale,,ChIJG2tG2KfzNIgRFZC1cH94LQg,40.4806544,-79.9753523,consolidated
penn ave,Cibo Dal Mio Cuore LLC,"420 42nd Street, Pittsburgh",,ChIJG4UDQKrzNIgRaqIOBoxjnes,40.46711210000001,-79.956231,bounding_only
liberty ave,"Dr. Rhett H. Lieberman, MD","4401 Penn Avenue, Pittsburgh",,ChIJG5CRGyryNIgRND1Xu4_04A8,40.4661227,-79.9533866,bounding_only
liberty ave,"Dr. Isabela C. Angelelli, MD","4401 Penn Avenue, Pittsburgh",,ChIJG5CRGyryNIgRVvKQMt6Mt-o,40.4661227,-79.9533866,bounding_only
penn ave,RE/MAX REAL ESTATE SOLUTIONS,"4020 Butler Street, Pittsburgh",5.0,ChIJG6HrBk3yNIgRmdsjZoSH3T8,40.4691,-79.96148730000002,consolidated
butler st,Otto Finn,"4607 Butler Street, Pittsburgh",5.0,ChIJG9FI9dfzNIgRPpCWxcnk3qE,40.47318509999999,-79.95884470000001,consolidated
penn ave,Bierport Tap Room,"4115 Butler Street, Pittsburgh",,ChIJGQ6Cn03yNIgRSWHu3t4dqjM,40.4699387,-79.9610646,bounding_only
37th St,Herrs Island North Park,Pittsburgh,4.7,ChIJGR0W8bDzNIgR_6CL-u6Dld0,40.4689668,-79.97364809999999,broad_filled
34th st,Pittsburgh Foundry & Machine,"20 36th Street, Pittsburgh",3.0,ChIJGUTIVLHzNIgRZgWs5gVoNRg,40.4669845,-79.96982589999999,consolidated
penn ave,higi,"3939 Butler Street, Pittsburgh",,ChIJGVnM1rLzNIgRQljB0e8c94c,40.46909660000001,-79.9633358,consolidated
liberty ave,Thyme Machine,"4613 Liberty Avenue, Pittsburgh",5.0,ChIJGWJzfQTzNIgRpdrWYW3X534,40.4625422,-79.9504255,bounding_only
45th St,Steel City Salt Company,"206 Grant Avenue, Millvale",5.0,ChIJGX2c5yzzNIgR0RwX-I4npxs,40.4790466,-79.971175,broad_filled
liberty ave,Iron Eden Inc,"4001 Lorigan Street, Pittsburgh",4.6,ChIJGYDk80jyNIgR3v2soh9Pt90,40.4615455,-79.955625,consolidated
penn ave,Arsenal Cider House & Wine Cellar,"300 39th Street, Pittsburgh",4.8,ChIJGamnn0vyNIgRa5owM6bs0y0,40.465108,-79.96092,consolidated
38th St,Three Rivers Rowing Association,"300 Waterfront Drive, Pittsburgh",4.8,ChIJGc4o7rnzNIgR6oYT2MDw7iE,40.466788,-79.9762859,broad_filled
butler st,Curiosity Shop,"100 43rd Street #116, Pittsburgh",4.9,ChIJGcEFy1LyNIgRBVPbKuKqgB8,40.47292839999999,-79.96385380000001,consolidated
butler st,TRVR Handwired Electronics,"100 43rd Street #112, Pittsburgh",,ChIJGcEFy1LyNIgRHVUD60B3CmA,40.4728738,-79.9638856,consolidated
liberty ave,Down Syndrome Center of Western PA,"4401 Penn Avenue Ste 3000, Pittsburgh",4.0,ChIJGdoNjinyNIgRvWN_rjT-4Ic,40.4660999,-79.95351959999999,bounding_only
butler st,Crystal Bead Bazaar,"4521 Butler Street, Pittsburgh",4.6,ChIJGeqcIlLyNIgRguraaFE4P9Q,40.4728071,-79.9589563,consolidated
liberty ave,Coinhub Bitcoin ATM Teller,"4411 Howley Street, Pittsburgh",,ChIJGftKdKvzNIgRjA1XUX7Gaoo,40.46469099999999,-79.95279,bounding_only
liberty ave,Strcula Jason E DMD,"4106 Penn Avenue, Pittsburgh",5.0,ChIJGfy4zEjyNIgR5skYLlJDWUw,40.46552459999999,-79.9546725,bounding_only
penn ave,"Juliette A Murcko, DMD","4106 Penn Avenue, Pittsburgh",4.1,ChIJGfy4zEjyNIgRhg_BgwP7gcA,40.46552459999999,-79.9546725,bounding_only
butler st,Bay 41,"115 41st Street, Pittsburgh",3.5,ChIJGwCKqlLyNIgRfVOkxrkUIBY,40.47160409999999,-79.9642964,consolidated
penn ave,Pita My Shawarma,"3716 Butler Street, Pittsburgh",4.4,ChIJGyHKJrP3NIgRsdwacPEvZDg,40.46660230000001,-79.96426,bounding_only
liberty ave,Pittsburgh Property Cleanouts,"4564 Penn Avenue, Pittsburgh",5.0,ChIJH-xbLUTyNIgRW8rM6brycRg,40.46578270000001,-79.94998629999999,bounding_only
liberty ave,Paddy Cake Bakery,"4763 Liberty Avenue, Pittsburgh",4.2,ChIJH200SEfyNIgRI_dMWj_LXhU,40.4611592,-79.9477275,bounding_only
48th St,APlus 40225,"300 Grant Avenue, Millvale",,ChIJH4QZBKnzNIgRTgmEbbb_KHg,40.479347,-79.972008,broad_filled
penn ave,CYA-Stephen Foster Community Center,"286 Main Street, Pittsburgh",4.2,ChIJH6L_JkzyNIgRkrFlE_EAj9o,40.46766799999999,-79.958663,consolidated
Plummer St,North Hills Community Outreach - Millvale Office,"416 Lincoln Avenue, Pittsburgh",4.7,ChIJH6QxSqjzNIgRSX5qeDa74Uo,40.4809551,-79.9726993,broad_filled
49th St,The ALS Association Western Pennsylvania Chapter,"416 Lincoln Avenue, Millvale",4.0,ChIJH6QxSqjzNIgRpbkiu_GPTn4,40.48094409999999,-79.9727036,broad_filled
penn ave,Salty Paws Pittsburgh,"4126 Butler Street, Pittsburgh",4.9,ChIJHQLMNqPzNIgRgbERJyh4kNo,40.4700202,-79.9605231,consolidated
liberty ave,Snelling Melissa,"4117 Main Street, Pittsburgh",,ChIJHQU4zEjyNIgR-EqAXCtd9EA,40.46539250000001,-79.9546514,bounding_only
liberty ave,Lautner Debra,"4117 Main Street, Pittsburgh",,ChIJHQU4zEjyNIgRIb4LcAKG79g,40.46539250000001,-79.9546514,bounding_only
liberty ave,Jacobs Joanne,"4117 Main Street, Pittsburgh",,ChIJHQU4zEjyNIgRJkqID0Q3FrQ,40.46539250000001,-79.9546514,bounding_only
52nd St,Millvale tobacco outlet,"225 North Avenue, Millvale",5.0,ChIJHUQ29jjzNIgRQtyC-K0qFgk,40.48159460000001,-79.9746018,broad_filled
liberty ave,Bloomfield Dek Hockey,"408 Ella Street, Pittsburgh",4.7,ChIJHV54e0jyNIgRZVJk_hlFGWU,40.46246699999999,-79.953516,consolidated
penn ave,Ragmonger,"3824 Penn Avenue Unit B, Pittsburgh",5.0,ChIJHVUQbWjzNIgRbnvCJ7sm2qg,40.4646762,-79.96045509999999,consolidated
liberty ave,higi,"4411 Howley Street, Pittsburgh",,ChIJHVx3HUbyNIgR1dwUSnl6fDA,40.46464,-79.9528,bounding_only
liberty ave,Sacred Heart of Jesus Store,"4515 Liberty Avenue, Pittsburgh",4.8,ChIJH_i1S0byNIgRd2Ev7lGOBGw,40.4629885,-79.951227,consolidated
43rd St,Linnea Marie Photography,"2131 Straubs Lane, Pittsburgh",5.0,ChIJHeFRw3NjM4gRHVzM9qungLQ,40.470324,-79.97867389999999,broad_filled
penn ave,Cranberry Plaza II LLC,"123 36th Street, Pittsburgh",,ChIJHfmdg7PzNIgRBfCv4b-POOM,40.4671374,-79.9669826,consolidated
penn ave,Carnegie Library of Pittsburgh - Lawrenceville,"279 Fisk Street, Pittsburgh",4.7,ChIJHwO5JEzyNIgRxnBpcMUX120,40.4676128,-79.9590515,consolidated
47th St,New Sun Rising,"112 East Sherman Street, Millvale",4.7,ChIJHx8qoanzNIgRDzwnYIvY5SU,40.4797979,-79.9713549,broad_filled
47th St,Millvale Food + Energy Hub,"112 East Sherman Street, Millvale",4.8,ChIJHx8qoanzNIgRJc4_A4E36GM,40.4799452,-79.9713307,broad_filled
liberty ave,drinks food music art & special events at brillobox,"4104 Penn Avenue, Pittsburgh",,ChIJI-DfzEjyNIgRYK8ywhk-zlk,40.46550499999999,-79.9547632,bounding_only
butler st,Cork Harbour Pub,"181 43rd Street, Pittsburgh",4.7,ChIJI0ynzUTzNIgR_z8-SOmMckE,40.4712592,-79.96087229999999,bounding_only
51st St,One Happy Flower Shop,"502 Grant Avenue, Millvale",5.0,ChIJI3BaaKjzNIgRW3UwerOrR7k,40.4805278,-79.9740814,broad_filled
liberty ave,Samantha Skelton Jewelry Design,"4049 Penn Avenue, Pittsburgh",4.6,ChIJI4PSLEnyNIgRcsiHldY4wFA,40.4657023,-79.9561192,bounding_only
penn ave,R Kyndall Development Group,"186 42nd Street, Pittsburgh",5.0,ChIJI73-7ZxiNIgRztvDVMtr-cQ,40.4704441,-79.9612604,consolidated
butler st,National Robotics Engineering Center,"10 40th Street, Pittsburgh",4.9,ChIJI8LyO63zNIgRvKb7FYwQ1MQ,40.4728736,-79.9650268,consolidated
liberty ave,"Dr. Nahmah A. Kim-Campbell, MD","4401 Penn Avenue, Pittsburgh",,ChIJIRzYXk_yNIgRNwlA9Fcobpg,40.4660999,-79.95351959999999,bounding_only
Plummer St,Millvale Boro Office,"501 Lincoln Avenue, Millvale",,ChIJIXBmQKjzNIgR0FG8ttUjMHk,40.4811062,-79.9735647,broad_filled
51st St,Millvale VFD Station 191,"501 Lincoln Avenue, Millvale",5.0,ChIJIXBmQKjzNIgR5AahyMeD1EQ,40.4811062,-79.9735647,broad_filled
43rd St,Pittsburgh Snow Removal,"211 Stanton Avenue, Pittsburgh",4.9,ChIJIYL2SKnzNIgROgt-FM7T8O4,40.4776209,-79.97082329999999,broad_filled
34th St,Warehouse,"19 35th Street, Pittsburgh",5.0,ChIJI_BVdOjzNIgRA_CeUzzuwXY,40.4660929,-79.9705912,broad_filled
liberty ave,"Dr. Prabir K. Mullick, MD","4608 Penn Avenue, Pittsburgh",4.0,ChIJIbsoO0TyNIgR1j2C75djFCQ,40.4657239,-79.9492016,consolidated
liberty ave,"Sharon L. Hovis, LSW",Pittsburgh,,ChIJIbsoO0TyNIgRgGc2me_WUjw,40.46578699999999,-79.94944249999999,bounding_only
liberty ave,"Dr. Manohar Shetty, MD","4608 Penn Avenue, Pittsburgh",5.0,ChIJIbsoO0TyNIgRt9S8BqA84tg,40.4657239,-79.9492016,consolidated
penn ave,"CRH Catering Co., Inc.","4110 Davison Street, Pittsburgh",1.9,ChIJId-e2U3yNIgR37cU6V2EEUU,40.46923100000001,-79.958733,consolidated
liberty ave,COMB. Salon,"4517 Liberty Avenue, Pittsburgh",5.0,ChIJId37ghTzNIgR9I7H29EZjjc,40.4630094,-79.9511105,bounding_only
43rd St,UA Local 542 Sprinklerfitters,"227 Stanton Avenue, Pittsburgh",5.0,ChIJIw1TN6nzNIgR84Wyie8wOdw,40.477802,-79.9713124,broad_filled
liberty ave,Ella St. Steps,"445 Ella Street, Bloomfield",4.5,ChIJIwCSCQDzNIgR0YuTHtSP28Y,40.46070069999999,-79.9537885,consolidated
butler st,Closet Rehab,"4400 Butler Street, Pittsburgh",5.0,ChIJIwcCUNJfNIgR0HOi9wCK4xc,40.4713622,-79.9594426,consolidated
penn ave,Silver Apple Gallery,"255 Main Street, Pittsburgh",5.0,ChIJIxU1wLHzNIgRwJjgQPCsakI,40.46867110000001,-79.959034,consolidated
butler st,Mello & Sons,"4405 Butler Street, Pittsburgh",5.0,ChIJIzBQbVLyNIgRrBPh9AbBoPI,40.4717501,-79.9598832,consolidated
49th St,Millvale Police Dept,"501 Lincoln Avenue, Millvale",,ChIJIzH5P6jzNIgRM8V8wByk4lE,40.4811032,-79.97365049999999,broad_filled
50th st,The Embassy,"Farragut Street, Millvale",5.0,ChIJJ-KInKjzNIgR2ZOCZKuQYdE,40.4791205,-79.97491029999999,consolidated
38th St,Three Rivers Water Trail Launch- Millvale Boat Launch,Millvale,4.0,ChIJJ19Ic8bzNIgR_DdEyJowmjs,40.469387,-79.9746488,broad_filled
34th St,Restaurant Depot,"86 35th Street, Pittsburgh",4.1,ChIJJ1t-88nzNIgRGWsaCFokhiY,40.4641889,-79.9700945,broad_filled
penn ave,CPR Certification Pittsburgh,"3700 Butler Street, Pittsburgh",4.9,ChIJJ1uqG_bzNIgRsK7MCjz-qMg,40.4662644,-79.9644211,bounding_only
51st St,Atkinson Beer Distributor,"315 North Avenue, Pittsburgh",4.5,ChIJJ53YHqjzNIgRxhmeAW5elL0,40.48217229999999,-79.9740195,broad_filled
penn ave,Penn Ave + 36th,United States,5.0,ChIJJ6cxK0vyNIgRSl88f8suxUs,40.46413099999999,-79.96403099999999,consolidated
liberty ave,Dirks Car Wash Bloomfield Touchless,"4052 Liberty Avenue, Pittsburgh",3.6,ChIJJ7E3VkjyNIgRWOhUFjEOn_U,40.4630268,-79.95515429999999,bounding_only
45th St,Millvale Free Fridge and Pantry,"213 Grant Avenue, Millvale",,ChIJJ93sG0bzNIgRR7f5ceQ-9vI,40.47885159999999,-79.97161609999999,broad_filled
penn ave,Stillpoint - Soto Zen,"137 41st Street, Pittsburgh",4.0,ChIJJ9h0Wk3yNIgR4u3WUgLXsrM,40.47102719999999,-79.9632428,consolidated
48th St,Anita New Look Wig Salon,"226 Grant Avenue, Pittsburgh",,ChIJJToPVGzzNIgRyTUvvjFXiRk,40.479392,-79.971775,broad_filled
liberty ave,V&T Nails,"4608 Liberty Avenue, Pittsburgh",5.0,ChIJJWROPd_zNIgRDcgKqIxysaI,40.4622779,-79.9506734,bounding_only
penn ave,Butler Street Derby,"4203 Butler Street, Pittsburgh",5.0,ChIJJYk8XXLzNIgRIZF7xOchKXs,40.47041189999999,-79.9606348,bounding_only
51st St,Grant Avenue Pocket Park G.A.P.P. (GAP Park),"518 Grant Avenue, Pittsburgh",3.9,ChIJJcWRcajzNIgRepfA08Ehy40,40.48082580000001,-79.9746389,broad_filled
penn ave,Blackbird Health,"3706 Butler Street, Pittsburgh",5.0,ChIJJcs8taFiNIgRaw_5Slzkr5c,40.4663709,-79.9643997,consolidated
penn ave,COLOMBINO Coffee/Food Truck,"3817 Butler Street, Pittsburgh",4.6,ChIJJdPcGIrzNIgR4he_3_nQQxM,40.4675693,-79.9642338,consolidated
penn ave,Trim Pittsburgh,"3508 Butler Street, Pittsburgh",4.7,ChIJJeehnXPyNIgRfy7Wc1y8RkE,40.46415399999999,-79.96598039999999,consolidated
liberty ave,Keystone Vapors Bloomfield,"4526 Liberty Avenue, Pittsburgh",4.8,ChIJJf-vJW_zNIgRXEFZyjue1Mo,40.46249950000001,-79.9511623,consolidated
liberty ave,Plexision,"4424 Penn Avenue Conference Room 1, Pittsburgh",5.0,ChIJJwdX90XyNIgRuWvh56SmTIw,40.4659071,-79.9526076,bounding_only
penn ave,Butler St + 39th,United States,,ChIJJy89tEzyNIgRA73t3fADJmk,40.467355,-79.963858,consolidated
liberty ave,Exercise Warehouse,"4042 Liberty Avenue, Pittsburgh",4.8,ChIJJzsfq0nyNIgRdjj2SxMOsEA,40.4629608,-79.9557154,bounding_only
55th St,MT Troy Rd + Fornof Ln,United States,,ChIJK-G9A6LzNIgRzq9gn7TikMo,40.478233,-79.98604399999999,broad_filled
penn ave,Penn Ave + 39th St,United States,,ChIJK-sLlkvyNIgRSU8HrTG4N8I,40.464861,-79.960202,consolidated
